Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
FARMACIA PAEZ DE LA VEGA - DOS HERMANAS;AV. GUADALQUIVIR, 81;41702;DOS HERMANAS;SEVILLA;954720653;;;;FARMACIAS;;;;;
LIDER EDIFICACIONES Y REFORMAS S.L. - DOS HERMANAS;AV. JOSELITO EL GALLO, 165;41702;DOS HERMANAS;SEVILLA;696477114;;info@lideredificaciones.es;www.lideredificaciones.es;EMPRESASCONSTRUCTORAS;;;;;
DISEMASUR - DOS HERMANAS;AV. JOSELITO EL GALLO, 88;41702;DOS HERMANAS;SEVILLA;955677314;;;;MOBILIARIO DE BAÑO;;;;;
EL ROBLE - DOS HERMANAS;AV. JOSELITO EL GALLO, 99;41702;DOS HERMANAS;SEVILLA;954728569;;;;DECORACION;;;;;
JOSE MIGUEL MARTINEZ RECIO - DOS HERMANAS;AV. JUAN PABLO II, 10;41702;DOS HERMANAS;SEVILLA;630614543;;;;ENERGIA ELECTRICA;;;;;
MIGUEL ANGEL PALOMO S.A. - DOS HERMANAS;AV. LA PALMERA (POL. IND. LA PALMERA), 14;41703;DOS HERMANAS;SEVILLA;954690906;;;;VARIANTES:FABRICANTESYMAYORISTAS;;;;;
MASA - DOS HERMANAS;AV. LA PALMERA (POL. IND. LA PALMERA), 16;41703;DOS HERMANAS;SEVILLA;954692397;;deleg.sur@masa.es;www.masa.es;;;;;;
UNION DE LIMPIEZAS DEL SUR - DOS HERMANAS;AV. LA PALMERA (POL. IND. LA PALMERA), 46;41703;DOS HERMANAS;SEVILLA;954692255;;union@unionlimpias.sur;;SERVICIOS A EMPRESAS;;;;;
SEÑALIZACION DEL PUNTO DE VENTA S.A. - DOS HERMANAS;AV. LA PALMERA (POL. IND. LA PALMERA), 62-64;41703;DOS HERMANAS;SEVILLA;954689136;;spva@spva.com;;GRAFICAS;;;;;
CARINDECO - DOS HERMANAS;AV. LA PALMERA (POL. IND. LA PALMERA), NAVE 18;41703;DOS HERMANAS;SEVILLA;954693967;;carindeco@infonegocio.com;www.carindeco.es;CARPINTERIADEMADERA;;;;;
HOTEL CLUB DE CAMPO - DOS HERMANAS;AV. LIBERTAD, 13;41703;DOS HERMANAS;SEVILLA;954726308;;;;HOTELES;;;;;
ISABEL RUIZ RUBIO - DOS HERMANAS;AV. LIBERTAD, 15;41703;DOS HERMANAS;SEVILLA;955667076;;;;SERVICIOS A EMPRESAS;;;;;
LAS COPAS - DOS HERMANAS;AV. LIBERTAD, 24;41703;DOS HERMANAS;SEVILLA;954721110;;;;SERVICIOS A EMPRESAS;;;;;
ABADIZ - DOS HERMANAS;AV. LIBERTAD, 3;41703;DOS HERMANAS;SEVILLA;954721645;;inmo@abadiz.es;www.abadiz.es;INMOBILIARIA;;;;;
