Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
GRUPO MUNICIPAL SOCIALISTA DE HUELVA;PLAZA DE LA CONSTITUCION 1;21003;HUELVA HUELVA ES21003 - SPAIN;HUELVA;34959284114;;administracion@psoehuelvo.com;;INFORMATICA/TELEFONIA;;;;;
CLINICA DE ORTODONCIA PEDRO VAZQUEZ;CALLE PADRE MARCHENA, 15 (LATERAL CASA COLON) ;;HUELVA - HUELVA;HUELVA;959101037;959823205;ortodonciapedrovazquez@odontonet.com;;SALUD;;;;;
MONCEF DOUIEB;SOR PAULA ALZOLA. 20 3 IZQ;21002;HUELVA ;HUELVA;34608302115;;moncef@teleline.es;;;;;;;
SERIGRAFIAS COLOMBINAS S.L.;A. GARAY ANDUAGA, 20                                                            ;21004;HUELVA;HUELVA; 959242966;;scolombina.3065@cajarural.com;;;;;;;
PUNTA NAVAL S.L.;A. OJEDA (P I PESQUERO NORTE), 5                                                ;21002;HUELVA;HUELVA; 959284717;;puntanaval@terra.es;;AUTOMOVIL;;;;;
AGENCIA PROVINCIAL DE LA ENERGIA DE HUELVA  ;A. S-HUELVA, KM. 0630,0;21007;HUELVA;HUELVA;959220338;;infoapeh@apeh.org;www.apeh.org;ENERGÍA SOLAR Y NUEVAS ENERGÍAS EQUIPO ESTUDIOS ;;;;;
AGENCIA PROVINCIAL DE LA ENERGIA DE HUELVA;A. S-HUELVA, KM. 0630,0;;HUELVA;HUELVA;959220338;;info@apeh.org;;SERV. JURIDICOS;;;;;
CONSTRUCCIONES RODRIGUEZ BAUTISTA S.L. - HUELVA;AMADO DE LÁZARO, 2;21002;HUELVA;HUELVA;959540147;;oficina@rodriba.com;;INMOBILIARIAS;;;;;
CONSTRUCCIONES RODRIGUEZ BAUTISTA S.L. - HUELVA;AMADO DE LÁZARO, 2;21002;HUELVA;HUELVA;959540147;;oficina@rodriba.com;www.rodriba.com;;;;;;
ACCION CREATIVA - HUELVA;ANDALUCIA 1;21003;HUELVA;HUELVA;661963089;;info@accioncreativa.es;www.accioncreativa.es;PUBLICIDAD ;;;;;
ELÉCTRICA SORIA GARCIA - HUELVA;ANDALUCIA 20;21100;HUELVA;HUELVA;651601269;;;;ELECTRICISTAS;;;;;
CORNEJO Y MORALES, S.A.;AV CARLOS HAYA 93;29010;HUELVA;HUELVA;952301150;952308051;cormo-sa@canal-auto.es;;;;;;;
TERRACIVIL, S.A.;AV ESCULTORA MISS WHITNEY 45;21003;HUELVA;HUELVA;959271452;959271860;;;AGENCIAS DE VIAJES;;;;;
DIRECCION TERRENOS E INMUEBLES COSTA S.L.;AV F MOLINA, 10                                                                 ;21006;HUELVA;HUELVA; 959270395;;igs@sostball.com;;CONSTRUCCION;;;;;
COCINAS ENCINASOLA S.L.;AV F MOLINA, 94                                                                 ;21006;HUELVA;HUELVA; 959271642;;laltracucina@laltracucina.e.telefonica.net;;;;;;;
