Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
HOCMIFERRUM;POLIGONO IND. EL TOMILLAR, NAVE 75 21730 ALMONTE (HUELVA);;HUELVA;HUELVA;959450197;959451027;hormiferrum@gmail.com;;INFORMATICA/TELEFONIA;;;;;
AUTO-REPUESTOS SUR;POLIGONO IND. FRANCISCO MONTENEGRO, AVDA. FRANCISCO MONTENEGRO, 4-5-6 21001 HUELVA (HUELVA);;HUELVA;HUELVA;959247623;959256670;arsur.admon@andaluciajunta.es;;;;;;;
CONSTRUCCIONES MANUEL SANCHEZ;POLIGONO IND. LA BARCA, C/ ALTO DE LA VI√ëA, 4 21450 CARTAYA (HUELVA);;HUELVA;HUELVA;959390142;959390500;cmsanchez-administracion@infonegocio.com;;INMOBILIARIA;;;;;
DEINNOVA HUELVA;POLIGONO IND. LA COLMENILLA, C/ D, NAVE 11 21500 GIBRALEON (HUELVA);;HUELVA;HUELVA;959300850;959301079;deinnova@deinnova.com;;ALIMENTACION;;;;;
AUTOMATISMOS MILA;POLIGONO IND. LA RAYA, C/ FOMENTO, 26 21110 ALJARAQUE (HUELVA);;HUELVA;HUELVA;959100275;959100276;automatismomila@gmail.com;;AUTOMOVIL;;;;;
AZAHARES MOGUER;POLIGONO IND. LOS ARROYOS, CTRA. SAN JUAN-LA RABIDA, KM. 6,4 21800 MOGUER (HUELVA);;HUELVA;HUELVA;959370695;959371228;azaharessele@telefonica.net;;;;;;;
OPRESS RECLAMOS PUBLICITARIOS - HUELVA;POLIGONO IND. MIRAVAL, 24;21007;HUELVA;HUELVA;959229261;;;www.opress.es;PUBLICIDAD ;;;;;
ATH;POLIGONO IND. PEGUERILLAS, CTRA. NACIONAL 431, KM. 86,3 21080 HUELVA (HUELVA);;HUELVA;HUELVA;959152044;959154808;ath@athsl.com;;;;;;;
BALTIMAR;POLIGONO IND. PESQUERO NORTE, S/N 21002 HUELVA (HUELVA);;HUELVA;HUELVA;959541140;959540660;baltimar@baltimar.es;;;;;;;
T.A.D. HUELVA;POLIGONO IND. POLIRROSA, C/ D NAVE 272 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959231351;;tadhuelvasl@yahoo.es;;INMOBILIARIA;;;;;
DILAB;POLIGONO IND. RINCON, NAVE 31 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959225337;959226050;compras@dilab.org;;;;;;;
NIPONUBA;POLIGONO IND. SAN DIEGO, CTRA. NACIONAL 431, KM 636,22 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959270465;959270319;info@niponuba.com;;INMOBILIARIA;;;;;
GRUAS CONSOLACION PEREZ;POLIGONO IND. SAN DIEGO, NAVE 1 - 2 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959225343;959227158;gruasconsolacionsl@hotmail.com;;;;;;;
CARPIPALOS;POLIGONO IND. SAN JORGE - 290 - 291;21810;HUELVA;HUELVA;959351464;;carpipalos@hotmail.com;www.carpipalos.es;CONSTRUCCION;;;;;
EXIN TECNICAS TUBULARES;POLIGONO IND. SAN JORGE, 244, APDO. CORREOS, 148 21810 PALOS DE LA FRONTERA (HUELVA);;HUELVA;HUELVA;959530237;959530237;info@tecnicas-tubulares.com;;;;;;;
AGROENVAS;POLIGONO IND. SAN JORGE, NAVE 58 21810 PALOS DE LA FRONTERA (HUELVA);;HUELVA;HUELVA;959531095;959656298;agroenvas@telefonica.net;;;;;;;
AMT ALQUILER DE MAQUINARIA TARTESSOS;POLIGONO IND. TARTESSOS, C/B, NAVE 219 21007 HUELVA (HUELVA);;HUELVA;HUELVA;959367172;959802517;amtslu@hotmail.com;;;;;;;
MECANIZADOS TOGAMAR;POLIGONO IND. VISTALAEGRA, NAVE 16, CTRA. A-472, KM 28,2 21860 VILLALBA DEL ALCOR (HUELVA);;HUELVA;HUELVA;959420309;959420309;mecanizadostogamar@hotmail.com;;;;;;;
TUMAR S.A.;POLIGONO INDUSTRIAL EL RINCON - NAVE 32;21007;HUELVA;HUELVA;959271051;;mamen@tumarsa.com;www.tumarsa.com;;;;;;
PROVENIM XXI;POLIGONO INDUSTRIAL LA COLMENILLA, C/ D, NAVE 9 21500 GIBRALEON (HUELVA);;HUELVA;HUELVA;959540692;959540562;provenimxxi@terra.es;;;;;;;
ASEISA;POLIGONO INDUSTRIAL LA PAZ, 29 - NAVE 29;21007;HUELVA;HUELVA;959543737;;huelva@aseisa.es;www.aseisa.es;CONSTRUCCION;;;;;
ONUKARVEN;POLIGONO INDUSTRIAL LA PAZ, 55 - PARCELA;21007;HUELVA;HUELVA;959543868;;info@onukarven.es;www.onukarven.es;CONSTRUCCION;;;;;
ASEISA - HUELVA;POLÕGONO INDUSTRIAL LA PAZ, NAVE 29;21007;HUELVA;HUELVA;959543737;;huelva@aseisa.es;;ENERGIA ELECTRICA;;;;;
OPRESS RECLAMOS PUBLICITARIOS;POLIGONO INDUSTRIAL MIRAVAL, 24;21007;HUELVA;HUELVA;959229261;;info@opress.es;www.opress.es;;;;;;
ELECTROMEC¡NICA JUMAN - HUELVA;POLÕGONO INDUSTRIAL PAVIPRESA, 14;21007;HUELVA;HUELVA;959230541;;;;INGENIERIA ;;;;;
ROMERO REPARACIONES;POLIGONO INDUSTRIAL PAVIPRESA, 26 - BAJO;21007;HUELVA;HUELVA;959252141;;romero_reparaciones@hotmail.com;;;;;;;
MANTENIMIENTO Y MONTAJES S.C.A.;POLIGONO INDUSTRIAL PESQUERO NORTE, S/N;21002;HUELVA;HUELVA;959260575;;info@mantenimientosymontajes.com;www.mantenimientosymontajes.com;;;;;;
SERVIASISTENCIA;POLIGONO INDUSTRIAL POLIRROSA, C/A - NAVE 1;21001;HUELVA;HUELVA;959033617;;info@serviasistencia.es;www.serviasistencia.es;;;;;;
