Empresa;Dirección;CP;Ciudad;Provincia;Teléfono;Móvil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
Global Asiste Calidad Y Bienesta;;41010;;SEVILLA;954670728;4;;;;;;;;
CESAR ALCON (SALADO 6);;41010;;SEVILLA;607860266;0;;;;;;;;
JAMONES LAZO SA;;41010;;SEVILLA;607517383;0;;;;;;;;
RESTAURANTE  JAYLU SL;;41010;;SEVILLA;610707066;3;;;;;;;;
SERGIO BAUS JAPON;;41010;;SEVILLA;954002585/ 699423998/663812142;6;;;;;;;;
MANUEL OLIVER MORENO;;41010;;SEVILLA;954341750;4;;;;;;;;
CARMENS ACEDO SL;;41010;;SEVILLA;954332211;5;;;;;;;;
ABOGADOS AGUILAR LEON SL;;41010;;SEVILLA;954282548;9;;;;;;;;
JESUS LOPEZ FERNANDEZ CARNICERIA;;41010;;SEVILLA;954001448/ 610139281;3;;;;;;;;
JOSE LUIS ALVAREZ FRANCA;;41010;;SEVILLA;954332037/ 647170634;2;;;;;;;;
RAFAEL MESA VELASCO (AUTOESCUELA MONTECARMELO);;41010;;SEVILLA;954081067;4;;;;;;;;
FRANCISCO REBANAL E HIJOS S.L;;41010;;SEVILLA;954281260;3;;;;;;;;
RIEGOS SOL GUADALQUIVIR SL;;41010;;SEVILLA;670665515;4;;;;;;;;
MANUEL RIOS HERRERA;;41010;;SEVILLA;954333483;3;;;;;;;;
JOSE MORA GARRIDO;;41010;;SEVILLA;954332793;6;;;;;;;;
LA FLOR DE MI VIÑA;;41010;;SEVILLA;954331034;4;;;;;;;;
LOOK CAN;;41010;;SEVILLA;649302204;3;;;;;;;;
ELECTRONICOS ANDALUCES SL;;41010;;SEVILLA;639144148;4;;;;;;;;
INTERANTENA SL;;41010;;SEVILLA;954341452;8;;;;;;;;
(R)CENTRO DE REHABILITACION DENTAL SL;;41010;;SEVILLA;954284585;11;;;;;;;;
ORTEGA PINTO SL;;41010;;SEVILLA 41010;954338520;3;;;;;;;;
JOSE MANUEL MARTINEZ LEAL(FRUTERIA PILI);;41010;;SEVILLA 41010;655806722;4;;;;;;;;
SEVILLAFINCAS;;41011;;SEVILLA;954990696;4;;;;;;;;
MODAS MANUEL CRUZ SL;;41011;;SEVILLA;954458861;5;;;;;;;;
AGROGANADERA LA PARRILLA SL;;41011;;SEVILLA;954276040;7;;;;;;;;
MUEBLES FUNCIONALIA;;41011;;SEVILLA;696937564;10;;;;;;;;
AF ACCION FORESTAL SL;;41011;;SEVILLA;954618744;10;;;;;;;;
CERCOELEC SL;;41011;;SEVILLA;954001511;3;;;;;;;;
