Empresa;Direcci³n;CP;Ciudad;Provincia;Telİfono;M³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
ANGEL MARQUEZ VAZQUEZ S.L;;;;HUELVA;959710531;;;;;;;;;
ANGEL MORATIN LIGERO      ;;;;HUELVA;959107389;;;;;;;;;
ANGELFRUTAS ESPAÑA EXPORT-IMPORT S.L.      ;;;;HUELVA;959251302;;;;;;;;;
ANIMACIONES ONUBA      ;;;;HUELVA;651677883;;;;;;;;;
ANIMATIUM;;;;HUELVA;959252701;;;;;;;;;
ANIMATIUM EXPANSION      ;;;;HUELVA;902300111;;;;;;;;;
ANOTHER DIMENSSION RECORDS;;;;HUELVA;;;;;;;;;;
ANSARES - ASOCIACION ONUBENSE DE PADRES DE PERSONAS CON TRASTORNO DEL ESPECTRO AUTISTA      ;;;;HUELVA;959155602;;;;;;;;;
ANTENAHUELVARADIO      ;;;;HUELVA;679470104;;;;;;;;;
ANTENAS DEL GUADIANA - AYAMONTE;;;;HUELVA;661234722;;;;;;;;;
ANTENAS ESURY      ;;;;HUELVA;680770327;;;;;;;;;
ANTENAS PACO CAMACHO ANCHA, 115;;;;HUELVA;959310384;;;;;;;;;
ANTENAS Y ELECTRODOMESTICOS SITED;;;;HUELVA;647737124;;;;;;;;;
ANTONELLI ZAPATA ALEJANDRO;;;;HUELVA;959486854;;;;;;;;;
ANTONIO ALVAREZ MARTIN      ;;;;HUELVA;959314140;;;;;;;;;
ANTONIO CASTAÑO      ;;;;HUELVA;959710156;;;;;;;;;
ANTONIO ESPA?A E HIJOS, S.L.;;;;HUELVA;959150500;;;;;;;;;
ANTONIO ESPAÑA E HIJOS, S.L.;;;;HUELVA;959150500;;;;;;;;;
ANTONIO FERNANDEZ MONTES      ;;;;HUELVA;959340727;;;;;;;;;
ANTONIO GABRIEL HERRERA VIDARTE      ;;;;HUELVA;959316365;;;;;;;;;
ANTONIO GIL SANCHEZ      ;;;;HUELVA;959417183;;;;;;;;;
ANTONIO JESUS DIAZ GARCIA      ;;;;HUELVA;959235202;;;;;;;;;
ANTONIO LORENZO GOMEZ      ;;;;HUELVA;667654325;;;;;;;;;
ANTONIO LUIS FARACO TORRES;;;;HUELVA;629437188;;;;;;;;;
ANTONIO MARIN FATUARTE      ;;;;HUELVA;959380571;;;;;;;;;
AONES - ASOCIACION ONUBENSE PARA LA NORMALIZACION EDUCATIVA      ;;;;HUELVA;959270510;;;;;;;;;
APARTAMENTOS LEO DELUXE      ;;;;HUELVA;959477337;;;;;;;;;
APARTAMENTOS MATALASCAÑAS      ;;;;HUELVA;655376815;;;;;;;;;
APARTAMENTOS RURALES FINCA VALBONO - ARACENA;;;;HUELVA;959127711;;;;;;;;;
APDHA - ASOCIACION PRODERECHOS HUMANOS DE ANDALUCIA      ;;;;HUELVA;959260254;;;;;;;;;
APDHA - ASOCIACION PRODERECHOS HUMANOS DE ANDALUCIA - HUELVA;;;;HUELVA;959260254;;;;;;;;;
APICOLA DOÑANA      ;;;;HUELVA;959451881;;;;;;;;;
APICUAR - CUARPIZA PIEDRA NATURAL, MARMOLES, GRANITO (HUELVA);;;;HUELVA;955982646;;;;;;;;;
APICULTURA Y DIETETICA LUISA;;;;HUELVA;959232282;;;;;;;;;
